StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.2,BFI_1,BFI_2,BFI_3,BFI_4,BFI_5,BFI_6,BFI_7,BFI_8,BFI_9,BFI_10,BFI_11,BFI_12,BFI_13,BFI_14,BFI_15,BFI_DO,EC_1,EC_2,EC_3,EC_4,EC_5,EC_6,EC_7,EC_DO,Attach_1,Attach_2,Attach_3,Attach_4,Attach_5,Attach_6,Attach_7,Attach_8,Attach_9,Attach_DO,RNSF1_1,RNSF1_2,RNSF1_3,RNSF1_4,RNSF1_5,RNSF1_6,RNSF1_7,RNSF1_8,RNSF1_DO,KM_P_1,KM_P_2,KM_P_3,KM_P_4,KM_P_5,KM_P_6,KM_P_7,KM_P_8,KM_P_9,KM_P_10,KM_P_11,KM_P_12,KM_P_DO,KM_CSR_1,KM_CSR_2,KM_CSR_3,KM_CSR_4,KM_CSR_5,KM_CSR_DO,KM_M_1,KM_M_2,KM_M_3,KM_M_4,KM_M_DO,KM_PA_1,KM_L_1,KM_L_2,KM_L_3,KM_L_DO,RNSF2_1,RNSF2_2,RNSF2_3,RNSF2_4,RNSF2_5,RNSF2_6,RNSF2_7,RNSF2_8,RNSF2_DO,Q12.1,Q12.1_DO,Q12.4,Q12.2,Q12.2_2_TEXT,Q12.3,Gender,Gender_7_TEXT,Age_1,Race,Race_10_TEXT,Education,Student,Employed,Income,SexualOr,SexualOr_6_TEXT,SC0,FL_3_DO,FL_5_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Consent,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Tends to be quiet.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Is compassionate, has a soft heart.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Tends to be disorganized.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Worries a lot.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Is fascinated by art, music, or literature.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Is dominant, acts as a leader.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Is sometimes rude to others.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Has difficulty getting started on tasks.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Tends to feel depressed, blue.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Has little interest in abstract ideas.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Is full of energy.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Assumes the best about people.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Is reliable, can always be counted on.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Is emotionally stable, not easily upset.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Is original, comes up with new ideas.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Display Order","For each item, please indicate how well it describes you. - I often have tender, concerned feelings for people less fortunate than me.","For each item, please indicate how well it describes you. - Sometimes I don't feel very sorry for other people when they are having problems.","For each item, please indicate how well it describes you. - When I see someone being taken advantage of, I feel kind of protective towards them.","For each item, please indicate how well it describes you. - Other people's misfortunes do not usually disturb me a great deal.","For each item, please indicate how well it describes you. - When I see someone being treated unfairly, I sometimes don't feel very much pity for them.","For each item, please indicate how well it describes you. - I am often quite touched by things that I see happen.","For each item, please indicate how well it describes you. - I would describe myself as a pretty soft-hearted person.","For each item, please indicate how well it describes you. - Display Order",Please read each of the following statements and rate the extent to which you believe each statement best describes your feelings about close relationships in general. - It helps to turn to people in times of need.,Please read each of the following statements and rate the extent to which you believe each statement best describes your feelings about close relationships in general. - I usually discuss my problems and concerns with others.,Please read each of the following statements and rate the extent to which you believe each statement best describes your feelings about close relationships in general. - I talk things over with people.,Please read each of the following statements and rate the extent to which you believe each statement best describes your feelings about close relationships in general. - I find it easy to depend on others.,Please read each of the following statements and rate the extent to which you believe each statement best describes your feelings about close relationships in general. - I don't feel comfortable opening up to others.,Please read each of the following statements and rate the extent to which you believe each statement best describes your feelings about close relationships in general. - I prefer not to show others how I feel deep down.,Please read each of the following statements and rate the extent to which you believe each statement best describes your feelings about close relationships in general. - I often worry that other people do not really care for me.,Please read each of the following statements and rate the extent to which you believe each statement best describes your feelings about close relationships in general. - I'm afraid that other people may abandon me.,Please read each of the following statements and rate the extent to which you believe each statement best describes your feelings about close relationships in general. - I worry that others won't care about me as much as I care about them.,Please read each of the following statements and rate the extent to which you believe each statement best describes your feelings about close relationships in general. - Display Order,"Please read each of the following statements carefully, thinking about how true it is for you right now. - I feel that the people I care about also care about me","Please read each of the following statements carefully, thinking about how true it is for you right now. - I feel connected with people who care for me, and for whom I care","Please read each of the following statements carefully, thinking about how true it is for you right now. - I feel close and connected with other people who are important to me","Please read each of the following statements carefully, thinking about how true it is for you right now. - I experience a warm feeling with the people I spend time with","Please read each of the following statements carefully, thinking about how true it is for you right now. - I feel excluded from the group I want to belong to","Please read each of the following statements carefully, thinking about how true it is for you right now. - I feel that people who are important to me are cold and distant towards me","Please read each of the following statements carefully, thinking about how true it is for you right now. - I have the impression that people I spend time with dislike me","Please read each of the following statements carefully, thinking about how true it is for you right now. - I feel the relationships I have are just superficial","Please read each of the following statements carefully, thinking about how true it is for you right now. - Display Order","Please indicate whether you experienced any of the following sensations, feelings, or actions, and if so, to what extent: - Moist eyes","Please indicate whether you experienced any of the following sensations, feelings, or actions, and if so, to what extent: - Tears","Please indicate whether you experienced any of the following sensations, feelings, or actions, and if so, to what extent: - Goosebumps or hair standing up","Please indicate whether you experienced any of the following sensations, feelings, or actions, and if so, to what extent: - Chills or shivers","Please indicate whether you experienced any of the following sensations, feelings, or actions, and if so, to what extent: - A warm feeling in the center of the chest","Please indicate whether you experienced any of the following sensations, feelings, or actions, and if so, to what extent: - Some feeling in the center of the chest","Please indicate whether you experienced any of the following sensations, feelings, or actions, and if so, to what extent: - Choked up","Please indicate whether you experienced any of the following sensations, feelings, or actions, and if so, to what extent: - A lump in the throat","Please indicate whether you experienced any of the following sensations, feelings, or actions, and if so, to what extent: - Difficulty speaking","Please indicate whether you experienced any of the following sensations, feelings, or actions, and if so, to what extent: - I smiled","Please indicate whether you experienced any of the following sensations, feelings, or actions, and if so, to what extent: - Buoyant or light","Please indicate whether you experienced any of the following sensations, feelings, or actions, and if so, to what extent: - Refreshed, energized, or exhilarated","Please indicate whether you experienced any of the following sensations, feelings, or actions, and if so, to what extent: - Display Order",Please rate to what extent each of the following statements are true:I felt/I observed.. - An incredible bond,Please rate to what extent each of the following statements are true:I felt/I observed.. - An exceptional sense of closeness appear,Please rate to what extent each of the following statements are true:I felt/I observed.. - A unique kind of love spring up,Please rate to what extent each of the following statements are true:I felt/I observed.. - An extraordinary feeling of welcoming or being welcomed,"Please rate to what extent each of the following statements are true:I felt/I observed.. - It is important to pay attention. Please select ""Not at All""",Please rate to what extent each of the following statements are true:I felt/I observed.. - Display Order,"Please indicate whether you had each of the following feelings just afterwards, and if so, to

what extent: - I felt like telling someone how much I care about them","Please indicate whether you had each of the following feelings just afterwards, and if so, to

what extent: - I wanted to hug someone","Please indicate whether you had each of the following feelings just afterwards, and if so, to

what extent: - I wanted to do something extra-nice for someone","Please indicate whether you had each of the following feelings just afterwards, and if so, to

what extent: - I felt more strongly committed to a relationship","Please indicate whether you had each of the following feelings just afterwards, and if so, to

what extent: - Display Order",Please rate to what extent the following statement is true: - I had positive feelings,"Please indicate whether each of the following was true, and if so, to what extent: - It was heartwarming","Please indicate whether each of the following was true, and if so, to what extent: - I was moved","Please indicate whether each of the following was true, and if so, to what extent: - I was touched","Please indicate whether each of the following was true, and if so, to what extent: - Display Order","Please read each of the following statements carefully, thinking about how true it is for you right now. - I feel that the people I care about also care about me","Please read each of the following statements carefully, thinking about how true it is for you right now. - I feel connected with people who care for me, and for whom I care","Please read each of the following statements carefully, thinking about how true it is for you right now. - I feel close and connected with other people who are important to me","Please read each of the following statements carefully, thinking about how true it is for you right now. - I experience a warm feeling with the people I spend time with","Please read each of the following statements carefully, thinking about how true it is for you right now. - I feel excluded from the group I want to belong to","Please read each of the following statements carefully, thinking about how true it is for you right now. - I feel that people who are important to me are cold and distant towards me","Please read each of the following statements carefully, thinking about how true it is for you right now. - I have the impression that people I spend time with dislike me","Please read each of the following statements carefully, thinking about how true it is for you right now. - I feel the relationships I have are just superficial","Please read each of the following statements carefully, thinking about how true it is for you right now. - Display Order",What video did you watch?,What video did you watch? - Display Order,Did you hear the video audio?,Was there any issue with the video playback? - Selected Choice,Was there any issue with the video playback? - Yes (please describe in short the issue you encountered) - Text,Had you seen the video clip before?,Which of the following best describes your gender? - Selected Choice,"Which of the following best describes your gender? - If you feel that your gender is not represented by one of the above options, we invite you to write in how you identify your gender in the following space: - Text",What is your age? - years,Which of the following best describes your race/ethnicity? - Selected Choice,"Which of the following best describes your race/ethnicity? - If you feel that your race/ethnicity is not represented by one of the above options, we invite you to write in how you identify your race/ethnicity in the following space: - Text",What is the highest education degree you have obtained to date?,Are you currently a student?,Are you currently employed?,How much total combined money did all members of your household earn last year?,Which of the following best describes your sexual orientation? - Selected Choice,"Which of the following best describes your sexual orientation? - If you feel that your sexual orientation is not represented by one of the above options, we invite you to write in how you identify your sexual orientation in the following space: - Text",Score,FL_3 - Block Randomizer - Display Order,FL_5 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID159""}","{""ImportId"":""QID206_1""}","{""ImportId"":""QID206_2""}","{""ImportId"":""QID206_3""}","{""ImportId"":""QID206_4""}","{""ImportId"":""QID206_5""}","{""ImportId"":""QID206_6""}","{""ImportId"":""QID206_7""}","{""ImportId"":""QID206_8""}","{""ImportId"":""QID206_9""}","{""ImportId"":""QID206_10""}","{""ImportId"":""QID206_11""}","{""ImportId"":""QID206_12""}","{""ImportId"":""QID206_13""}","{""ImportId"":""QID206_14""}","{""ImportId"":""QID206_15""}","{""ImportId"":""QID206_DO""}","{""ImportId"":""QID216_1""}","{""ImportId"":""QID216_2""}","{""ImportId"":""QID216_3""}","{""ImportId"":""QID216_4""}","{""ImportId"":""QID216_5""}","{""ImportId"":""QID216_6""}","{""ImportId"":""QID216_7""}","{""ImportId"":""QID216_DO""}","{""ImportId"":""QID209_1""}","{""ImportId"":""QID209_2""}","{""ImportId"":""QID209_3""}","{""ImportId"":""QID209_4""}","{""ImportId"":""QID209_5""}","{""ImportId"":""QID209_6""}","{""ImportId"":""QID209_7""}","{""ImportId"":""QID209_8""}","{""ImportId"":""QID209_9""}","{""ImportId"":""QID209_DO""}","{""ImportId"":""QID204_1""}","{""ImportId"":""QID204_2""}","{""ImportId"":""QID204_3""}","{""ImportId"":""QID204_4""}","{""ImportId"":""QID204_5""}","{""ImportId"":""QID204_6""}","{""ImportId"":""QID204_7""}","{""ImportId"":""QID204_8""}","{""ImportId"":""QID204_DO""}","{""ImportId"":""QID222_1""}","{""ImportId"":""QID222_2""}","{""ImportId"":""QID222_3""}","{""ImportId"":""QID222_10""}","{""ImportId"":""QID222_4""}","{""ImportId"":""QID222_5""}","{""ImportId"":""QID222_6""}","{""ImportId"":""QID222_7""}","{""ImportId"":""QID222_8""}","{""ImportId"":""QID222_9""}","{""ImportId"":""QID222_11""}","{""ImportId"":""QID222_12""}","{""ImportId"":""QID222_DO""}","{""ImportId"":""QID223_1""}","{""ImportId"":""QID223_13""}","{""ImportId"":""QID223_14""}","{""ImportId"":""QID223_15""}","{""ImportId"":""QID223_16""}","{""ImportId"":""QID223_DO""}","{""ImportId"":""QID224_15""}","{""ImportId"":""QID224_14""}","{""ImportId"":""QID224_13""}","{""ImportId"":""QID224_1""}","{""ImportId"":""QID224_DO""}","{""ImportId"":""QID225_15""}","{""ImportId"":""QID226_15""}","{""ImportId"":""QID226_17""}","{""ImportId"":""QID226_18""}","{""ImportId"":""QID226_DO""}","{""ImportId"":""QID221_1""}","{""ImportId"":""QID221_2""}","{""ImportId"":""QID221_3""}","{""ImportId"":""QID221_4""}","{""ImportId"":""QID221_5""}","{""ImportId"":""QID221_6""}","{""ImportId"":""QID221_7""}","{""ImportId"":""QID221_8""}","{""ImportId"":""QID221_DO""}","{""ImportId"":""QID205""}","{""ImportId"":""QID205_DO""}","{""ImportId"":""QID214""}","{""ImportId"":""QID212""}","{""ImportId"":""QID212_2_TEXT""}","{""ImportId"":""QID213""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_8_TEXT""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_11_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_7_TEXT""}","{""ImportId"":""SC_3sHjXJV8O7uRpnU""}","{""ImportId"":""FL_3_DO""}","{""ImportId"":""FL_5_DO""}"
2021-05-03 14:13:54,2021-05-03 14:23:39,0,188.150.148.235,100,585,1,2021-05-03 14:23:39,R_1FKRR5T40WGJTa8,,,,,57.70379638671875,11.9712982177734375,anonymous,EN-GB,1,2,5,1,4,4,3,2,4,4,4,4,5,5,2,2,12|10|1|3|8|13|14|6|5|9|2|11|4|7|15,5,2,5,1,1,5,5,2|4|3|5|6|1|7,7,6,6,5,2,2,1,2,3,7|6|2|5|3|4|8|9|1,5,5,4,5,2,1,1,1,4|6|2|8|1|3|5|7,7,7,1,7,2,7,7,6,6,2,1,2,8|2|9|3|7|5|6|4|10|11|12|1,5,4,5,3,1,2|3|4|5|1,6,7,7,5,1|3|4|2,4,6,7,7,1|2|3,5,5,4,5,1,1,1,1,3|1|8|7|2|4|6|5,3,6|4|3|7|5|2,2,1,,2,0,,24,4,,4,0,1,4,0,,311,"EmpathicConcernIRIsubscale(Davis,1980,1983)|T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)|Global/GeneralAttachment(Fraleyetal.,2011and2014)|Personality,BFI-2XS(SotoandJohn,2017)","VideoCondition1""ThaiMedicine""Zickfeldetal.2019"
2021-05-03 16:15:51,2021-05-03 16:27:24,0,70.172.43.203,100,693,1,2021-05-03 16:27:24,R_SCP1YOCuGC50a9b,,,,,33.7147064208984375,-112.2400970458984375,anonymous,EN-GB,1,4,5,2,5,5,4,2,5,4,1,2,4,4,2,5,7|10|13|12|3|6|1|4|9|14|11|2|15|5|8,4,2,3,2,1,4,4,2|5|4|1|6|3|7,6,5,6,5,1,1,2,5,3,3|5|6|8|2|4|1|9|7,4,5,5,5,1,1,2,2,5|2|7|8|4|6|3|1,1,1,1,1,1,1,1,1,1,1,1,2,9|7|10|5|4|8|12|11|6|3|2|1,1,1,1,1,1,4|5|3|1|2,1,1,1,1,4|3|2|1,3,1,1,1,3|1|2,5,4,4,5,1,1,2,1,4|8|2|5|3|7|6|1,7,5|4|6|2|7|3,2,1,,1,0,,24,0,,4,1,0,3,0,,206,"Personality,BFI-2XS(SotoandJohn,2017)|EmpathicConcernIRIsubscale(Davis,1980,1983)|Global/GeneralAttachment(Fraleyetal.,2011and2014)|T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)","VideoNeutral1""CleanHardwoodFloors""(Riveraetal.,2019)"
2021-05-03 16:41:17,2021-05-03 16:52:57,0,92.7.162.249,100,699,1,2021-05-03 16:52:58,R_1DIGk2cMQn0Gh81,,,,,55.9550933837890625,-3.1999969482421875,anonymous,EN-GB,1,3,4,3,5,5,2,4,2,4,1,1,1,5,2,2,15|5|14|8|13|12|4|1|10|9|11|6|3|2|7,5,2,5,1,1,4,3,6|1|3|5|7|2|4,7,3,6,3,4,1,4,7,6,9|7|8|1|4|5|3|6|2,5,5,5,5,1,1,1,1,7|1|8|2|3|4|6|5,1,2,4,4,7,7,2,4,1,2,4,2,10|8|4|1|12|2|9|6|7|5|3|11,3,4,3,4,1,2|4|5|3|1,4,1,1,1,2|3|4|1,7,7,7,7,2|3|1,5,5,5,5,1,1,1,1,5|8|2|1|3|6|7|4,3,5|4|6|3|7|2,2,1,,1,0,,26,0,,4,0,2,2,0,,283,"T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)|Global/GeneralAttachment(Fraleyetal.,2011and2014)|EmpathicConcernIRIsubscale(Davis,1980,1983)|Personality,BFI-2XS(SotoandJohn,2017)","VideoCondition1""ThaiMedicine""Zickfeldetal.2019"
2021-05-03 16:59:50,2021-05-03 17:10:09,0,73.14.62.234,100,619,1,2021-05-03 17:10:10,R_3Jhf3IZkbeYJ0CL,,,,,39.679595947265625,-104.9626007080078125,anonymous,EN-GB,1,3,4,2,3,4,3,4,4,2,1,3,2,4,5,4,8|14|5|1|15|12|2|13|3|10|6|7|4|11|9,2,4,4,2,3,3,2,7|2|5|4|1|6|3,5,5,5,2,6,6,3,5,2,5|4|3|9|8|1|7|2|6,5,4,4,4,3,1,1,2,2|3|4|7|6|1|5|8,1,1,1,1,1,1,1,1,1,1,1,1,5|12|3|4|9|1|2|8|10|7|11|6,1,1,1,1,1,4|5|1|2|3,1,1,2,1,2|1|3|4,4,2,1,1,1|2|3,4,5,4,4,3,2,2,2,6|4|7|8|1|5|2|3,7,5|2|7|3|4|6,2,1,,1,0,,29,0,,4,1,1,2,0,,195,"Personality,BFI-2XS(SotoandJohn,2017)|EmpathicConcernIRIsubscale(Davis,1980,1983)|Global/GeneralAttachment(Fraleyetal.,2011and2014)|T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)","VideoNeutral1""CleanHardwoodFloors""(Riveraetal.,2019)"
2021-05-03 17:17:27,2021-05-03 17:31:21,0,73.109.185.139,100,834,1,2021-05-03 17:31:22,R_3lreZXAJc12IjRu,,,,,47.634796142578125,-122.34510040283203125,anonymous,EN-GB,1,4,4,1,5,5,4,3,1,5,3,1,4,5,2,4,4|5|13|15|7|1|10|6|9|3|12|8|2|11|14,4,4,4,4,2,4,3,4|2|3|1|7|5|6,6,6,7,3,6,6,6,6,6,3|2|8|5|7|6|4|9|1,4,5,3,5,4,3,2,2,8|4|7|2|6|5|1|3,5,3,3,3,6,6,4,5,4,3,2,2,8|5|7|12|1|9|11|10|6|4|2|3,4,5,4,3,1,2|4|3|5|1,4,4,5,2,1|2|3|4,6,7,6,6,1|3|2,4,5,4,5,3,2,2,1,1|5|6|8|4|3|7|2,3,4|6|7|5|3|2,2,1,,1,1,,26,0,,3,0,2,3,0,,287,"Global/GeneralAttachment(Fraleyetal.,2011and2014)|EmpathicConcernIRIsubscale(Davis,1980,1983)|T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)|Personality,BFI-2XS(SotoandJohn,2017)","VideoCondition1""ThaiMedicine""Zickfeldetal.2019"
2021-05-03 19:01:23,2021-05-03 19:14:02,0,86.175.72.250,100,759,1,2021-05-03 19:14:03,R_3gREP9y0HS2TSzy,,,,,55.902801513671875,-3.0778045654296875,anonymous,EN-GB,1,4,5,2,5,5,4,2,3,4,1,4,5,5,3,3,9|15|8|4|7|11|3|12|5|6|10|2|14|1|13,5,2,4,2,1,5,4,6|5|3|1|4|7|2,7,6,7,4,2,4,2,2,2,9|3|2|6|5|8|4|1|7,5,4,4,5,1,1,1,4,4|8|1|6|3|2|7|5,7,2,6,6,7,5,6,1,2,3,3,2,6|2|3|5|11|8|4|10|12|9|7|1,6,7,7,7,1,4|1|3|5|2,6,7,6,4,4|2|1|3,7,7,6,6,2|3|1,5,4,5,5,1,1,1,2,4|3|7|8|1|5|2|6,3,2|4|6|7|3|5,2,1,,1,0,,25,0,,4,0,2,3,0,,310,"Global/GeneralAttachment(Fraleyetal.,2011and2014)|Personality,BFI-2XS(SotoandJohn,2017)|EmpathicConcernIRIsubscale(Davis,1980,1983)|T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)","VideoCondition1""ThaiMedicine""Zickfeldetal.2019"
2021-05-04 00:00:21,2021-05-04 00:10:59,0,71.227.155.61,100,637,1,2021-05-04 00:10:59,R_3fACZTaWC1ONjB5,,,,,47.6732940673828125,-122.3426055908203125,anonymous,EN-GB,1,4,5,4,5,5,2,1,2,5,2,2,1,4,2,4,6|11|9|12|13|3|1|7|8|15|10|5|2|14|4,4,1,5,1,1,4,5,2|1|3|7|4|6|5,7,7,7,7,2,3,1,3,1,1|2|3|8|6|4|9|7|5,5,5,5,5,1,1,2,1,4|7|8|1|3|2|6|5,2,1,2,2,2,2,2,1,1,3,2,2,10|2|8|9|12|3|6|11|5|7|4|1,3,3,2,3,1,1|4|2|5|3,2,2,2,2,2|4|3|1,5,2,2,2,2|3|1,5,5,5,5,1,1,1,1,2|6|5|4|8|1|3|7,7,4|5|6|7|2|3,2,1,,1,0,,26,0,,3,0,2,4,4,,234,"T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)|EmpathicConcernIRIsubscale(Davis,1980,1983)|Personality,BFI-2XS(SotoandJohn,2017)|Global/GeneralAttachment(Fraleyetal.,2011and2014)","VideoNeutral1""CleanHardwoodFloors""(Riveraetal.,2019)"
2021-05-04 04:23:02,2021-05-04 04:34:32,0,107.115.29.100,100,690,1,2021-05-04 04:34:33,R_1hZ2vK53H8xPKPa,,,,,38.58099365234375,-121.493896484375,anonymous,EN-GB,1,1,5,1,5,4,1,2,4,4,3,3,5,4,3,4,4|15|8|3|9|12|10|5|14|2|13|1|11|6|7,5,2,4,1,1,4,4,5|1|7|2|6|4|3,7,6,7,6,1,1,4,6,7,7|9|2|1|6|5|3|8|4,5,5,5,5,3,2,3,1,4|3|6|1|2|7|5|8,4,2,3,1,4,4,5,6,1,4,1,3,9|6|10|3|1|12|5|8|7|4|2|11,5,5,4,4,1,4|1|2|3|5,5,5,4,5,1|2|4|3,4,6,4,7,3|1|2,4,5,5,4,3,3,3,1,4|1|8|7|3|2|6|5,3,4|7|3|5|6|2,2,1,,1,0,,24,0,,3,1,0,3,0,,273,"T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)|Personality,BFI-2XS(SotoandJohn,2017)|EmpathicConcernIRIsubscale(Davis,1980,1983)|Global/GeneralAttachment(Fraleyetal.,2011and2014)","VideoCondition1""ThaiMedicine""Zickfeldetal.2019"
