StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.2,BFI_1,BFI_2,BFI_3,BFI_4,BFI_5,BFI_6,BFI_7,BFI_8,BFI_9,BFI_10,BFI_11,BFI_12,BFI_13,BFI_14,BFI_15,BFI_DO,EC_1,EC_2,EC_3,EC_4,EC_5,EC_6,EC_7,EC_DO,Attach_1,Attach_2,Attach_3,Attach_4,Attach_5,Attach_6,Attach_7,Attach_8,Attach_9,Attach_DO,RNSF1_1,RNSF1_2,RNSF1_3,RNSF1_4,RNSF1_5,RNSF1_6,RNSF1_7,RNSF1_8,RNSF1_DO,KM_P_1,KM_P_2,KM_P_3,KM_P_4,KM_P_5,KM_P_6,KM_P_7,KM_P_8,KM_P_9,KM_P_10,KM_P_11,KM_P_12,KM_P_DO,KM_CSR_1,KM_CSR_2,KM_CSR_3,KM_CSR_4,KM_CSR_5,KM_CSR_DO,KM_M_1,KM_M_2,KM_M_3,KM_M_4,KM_M_DO,KM_PA_1,KM_L_1,KM_L_2,KM_L_3,KM_L_DO,RNSF2_1,RNSF2_2,RNSF2_3,RNSF2_4,RNSF2_5,RNSF2_6,RNSF2_7,RNSF2_8,RNSF2_DO,Q12.1,Q12.1_DO,Q12.4,Q12.2,Q12.2_2_TEXT,Q12.3,Gender,Gender_7_TEXT,Age_1,Race,Race_10_TEXT,Education,Student,Employed,Income,SexualOr,SexualOr_6_TEXT,SC0,id,FL_3_DO,FL_5_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Consent,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Tends to be quiet.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Is compassionate, has a soft heart.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Tends to be disorganized.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Worries a lot.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Is fascinated by art, music, or literature.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Is dominant, acts as a leader.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Is sometimes rude to others.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Has difficulty getting started on tasks.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Tends to feel depressed, blue.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Has little interest in abstract ideas.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Is full of energy.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Assumes the best about people.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Is reliable, can always be counted on.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Is emotionally stable, not easily upset.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Is original, comes up with new ideas.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement.
I am someone who... - Display Order","For each item, please indicate how well it describes you. - I often have tender, concerned feelings for people less fortunate than me.","For each item, please indicate how well it describes you. - Sometimes I don't feel very sorry for other people when they are having problems.","For each item, please indicate how well it describes you. - When I see someone being taken advantage of, I feel kind of protective towards them.","For each item, please indicate how well it describes you. - Other people's misfortunes do not usually disturb me a great deal.","For each item, please indicate how well it describes you. - When I see someone being treated unfairly, I sometimes don't feel very much pity for them.","For each item, please indicate how well it describes you. - I am often quite touched by things that I see happen.","For each item, please indicate how well it describes you. - I would describe myself as a pretty soft-hearted person.","For each item, please indicate how well it describes you. - Display Order",Please read each of the following statements and rate the extent to which you believe each statement best describes your feelings about close relationships in general. - It helps to turn to people in times of need.,Please read each of the following statements and rate the extent to which you believe each statement best describes your feelings about close relationships in general. - I usually discuss my problems and concerns with others.,Please read each of the following statements and rate the extent to which you believe each statement best describes your feelings about close relationships in general. - I talk things over with people.,Please read each of the following statements and rate the extent to which you believe each statement best describes your feelings about close relationships in general. - I find it easy to depend on others.,Please read each of the following statements and rate the extent to which you believe each statement best describes your feelings about close relationships in general. - I don't feel comfortable opening up to others.,Please read each of the following statements and rate the extent to which you believe each statement best describes your feelings about close relationships in general. - I prefer not to show others how I feel deep down.,Please read each of the following statements and rate the extent to which you believe each statement best describes your feelings about close relationships in general. - I often worry that other people do not really care for me.,Please read each of the following statements and rate the extent to which you believe each statement best describes your feelings about close relationships in general. - I'm afraid that other people may abandon me.,Please read each of the following statements and rate the extent to which you believe each statement best describes your feelings about close relationships in general. - I worry that others won't care about me as much as I care about them.,Please read each of the following statements and rate the extent to which you believe each statement best describes your feelings about close relationships in general. - Display Order,"Please read each of the following statements carefully, thinking about how true it is for you right now. - I feel that the people I care about also care about me","Please read each of the following statements carefully, thinking about how true it is for you right now. - I feel connected with people who care for me, and for whom I care","Please read each of the following statements carefully, thinking about how true it is for you right now. - I feel close and connected with other people who are important to me","Please read each of the following statements carefully, thinking about how true it is for you right now. - I experience a warm feeling with the people I spend time with","Please read each of the following statements carefully, thinking about how true it is for you right now. - I feel excluded from the group I want to belong to","Please read each of the following statements carefully, thinking about how true it is for you right now. - I feel that people who are important to me are cold and distant towards me","Please read each of the following statements carefully, thinking about how true it is for you right now. - I have the impression that people I spend time with dislike me","Please read each of the following statements carefully, thinking about how true it is for you right now. - I feel the relationships I have are just superficial","Please read each of the following statements carefully, thinking about how true it is for you right now. - Display Order","Please indicate whether you experienced any of the following sensations, feelings, or actions, and if so, to what extent: - Moist eyes","Please indicate whether you experienced any of the following sensations, feelings, or actions, and if so, to what extent: - Tears","Please indicate whether you experienced any of the following sensations, feelings, or actions, and if so, to what extent: - Goosebumps or hair standing up","Please indicate whether you experienced any of the following sensations, feelings, or actions, and if so, to what extent: - Chills or shivers","Please indicate whether you experienced any of the following sensations, feelings, or actions, and if so, to what extent: - A warm feeling in the center of the chest","Please indicate whether you experienced any of the following sensations, feelings, or actions, and if so, to what extent: - Some feeling in the center of the chest","Please indicate whether you experienced any of the following sensations, feelings, or actions, and if so, to what extent: - Choked up","Please indicate whether you experienced any of the following sensations, feelings, or actions, and if so, to what extent: - A lump in the throat","Please indicate whether you experienced any of the following sensations, feelings, or actions, and if so, to what extent: - Difficulty speaking","Please indicate whether you experienced any of the following sensations, feelings, or actions, and if so, to what extent: - I smiled","Please indicate whether you experienced any of the following sensations, feelings, or actions, and if so, to what extent: - Buoyant or light","Please indicate whether you experienced any of the following sensations, feelings, or actions, and if so, to what extent: - Refreshed, energized, or exhilarated","Please indicate whether you experienced any of the following sensations, feelings, or actions, and if so, to what extent: - Display Order",Please rate to what extent each of the following statements are true:I felt/I observed.. - An incredible bond,Please rate to what extent each of the following statements are true:I felt/I observed.. - An exceptional sense of closeness appear,Please rate to what extent each of the following statements are true:I felt/I observed.. - A unique kind of love spring up,Please rate to what extent each of the following statements are true:I felt/I observed.. - An extraordinary feeling of welcoming or being welcomed,"Please rate to what extent each of the following statements are true:I felt/I observed.. - It is important to pay attention. Please select ""Not at All""",Please rate to what extent each of the following statements are true:I felt/I observed.. - Display Order,"Please indicate whether you had each of the following feelings just afterwards, and if so, to

what extent: - I felt like telling someone how much I care about them","Please indicate whether you had each of the following feelings just afterwards, and if so, to

what extent: - I wanted to hug someone","Please indicate whether you had each of the following feelings just afterwards, and if so, to

what extent: - I wanted to do something extra-nice for someone","Please indicate whether you had each of the following feelings just afterwards, and if so, to

what extent: - I felt more strongly committed to a relationship","Please indicate whether you had each of the following feelings just afterwards, and if so, to

what extent: - Display Order",Please rate to what extent the following statement is true: - I had positive feelings,"Please indicate whether each of the following was true, and if so, to what extent: - It was heartwarming","Please indicate whether each of the following was true, and if so, to what extent: - I was moved","Please indicate whether each of the following was true, and if so, to what extent: - I was touched","Please indicate whether each of the following was true, and if so, to what extent: - Display Order","Please read each of the following statements carefully, thinking about how true it is for you right now. - I feel that the people I care about also care about me","Please read each of the following statements carefully, thinking about how true it is for you right now. - I feel connected with people who care for me, and for whom I care","Please read each of the following statements carefully, thinking about how true it is for you right now. - I feel close and connected with other people who are important to me","Please read each of the following statements carefully, thinking about how true it is for you right now. - I experience a warm feeling with the people I spend time with","Please read each of the following statements carefully, thinking about how true it is for you right now. - I feel excluded from the group I want to belong to","Please read each of the following statements carefully, thinking about how true it is for you right now. - I feel that people who are important to me are cold and distant towards me","Please read each of the following statements carefully, thinking about how true it is for you right now. - I have the impression that people I spend time with dislike me","Please read each of the following statements carefully, thinking about how true it is for you right now. - I feel the relationships I have are just superficial","Please read each of the following statements carefully, thinking about how true it is for you right now. - Display Order",What video did you watch?,What video did you watch? - Display Order,Did you hear the video audio?,Was there any issue with the video playback? - Selected Choice,Was there any issue with the video playback? - Yes (please describe in short the issue you encountered) - Text,Had you seen the video clip before?,Which of the following best describes your gender? - Selected Choice,"Which of the following best describes your gender? - If you feel that your gender is not represented by one of the above options, we invite you to write in how you identify your gender in the following space: - Text",What is your age? - years,Which of the following best describes your race/ethnicity? - Selected Choice,"Which of the following best describes your race/ethnicity? - If you feel that your race/ethnicity is not represented by one of the above options, we invite you to write in how you identify your race/ethnicity in the following space: - Text",What is the highest education degree you have obtained to date?,Are you currently a student?,Are you currently employed?,How much total combined money did all members of your household earn last year?,Which of the following best describes your sexual orientation? - Selected Choice,"Which of the following best describes your sexual orientation? - If you feel that your sexual orientation is not represented by one of the above options, we invite you to write in how you identify your sexual orientation in the following space: - Text",Score,id,FL_3 - Block Randomizer - Display Order,FL_5 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID159""}","{""ImportId"":""QID206_1""}","{""ImportId"":""QID206_2""}","{""ImportId"":""QID206_3""}","{""ImportId"":""QID206_4""}","{""ImportId"":""QID206_5""}","{""ImportId"":""QID206_6""}","{""ImportId"":""QID206_7""}","{""ImportId"":""QID206_8""}","{""ImportId"":""QID206_9""}","{""ImportId"":""QID206_10""}","{""ImportId"":""QID206_11""}","{""ImportId"":""QID206_12""}","{""ImportId"":""QID206_13""}","{""ImportId"":""QID206_14""}","{""ImportId"":""QID206_15""}","{""ImportId"":""QID206_DO""}","{""ImportId"":""QID216_1""}","{""ImportId"":""QID216_2""}","{""ImportId"":""QID216_3""}","{""ImportId"":""QID216_4""}","{""ImportId"":""QID216_5""}","{""ImportId"":""QID216_6""}","{""ImportId"":""QID216_7""}","{""ImportId"":""QID216_DO""}","{""ImportId"":""QID209_1""}","{""ImportId"":""QID209_2""}","{""ImportId"":""QID209_3""}","{""ImportId"":""QID209_4""}","{""ImportId"":""QID209_5""}","{""ImportId"":""QID209_6""}","{""ImportId"":""QID209_7""}","{""ImportId"":""QID209_8""}","{""ImportId"":""QID209_9""}","{""ImportId"":""QID209_DO""}","{""ImportId"":""QID204_1""}","{""ImportId"":""QID204_2""}","{""ImportId"":""QID204_3""}","{""ImportId"":""QID204_4""}","{""ImportId"":""QID204_5""}","{""ImportId"":""QID204_6""}","{""ImportId"":""QID204_7""}","{""ImportId"":""QID204_8""}","{""ImportId"":""QID204_DO""}","{""ImportId"":""QID222_1""}","{""ImportId"":""QID222_2""}","{""ImportId"":""QID222_3""}","{""ImportId"":""QID222_10""}","{""ImportId"":""QID222_4""}","{""ImportId"":""QID222_5""}","{""ImportId"":""QID222_6""}","{""ImportId"":""QID222_7""}","{""ImportId"":""QID222_8""}","{""ImportId"":""QID222_9""}","{""ImportId"":""QID222_11""}","{""ImportId"":""QID222_12""}","{""ImportId"":""QID222_DO""}","{""ImportId"":""QID223_1""}","{""ImportId"":""QID223_13""}","{""ImportId"":""QID223_14""}","{""ImportId"":""QID223_15""}","{""ImportId"":""QID223_16""}","{""ImportId"":""QID223_DO""}","{""ImportId"":""QID224_15""}","{""ImportId"":""QID224_14""}","{""ImportId"":""QID224_13""}","{""ImportId"":""QID224_1""}","{""ImportId"":""QID224_DO""}","{""ImportId"":""QID225_15""}","{""ImportId"":""QID226_15""}","{""ImportId"":""QID226_17""}","{""ImportId"":""QID226_18""}","{""ImportId"":""QID226_DO""}","{""ImportId"":""QID221_1""}","{""ImportId"":""QID221_2""}","{""ImportId"":""QID221_3""}","{""ImportId"":""QID221_4""}","{""ImportId"":""QID221_5""}","{""ImportId"":""QID221_6""}","{""ImportId"":""QID221_7""}","{""ImportId"":""QID221_8""}","{""ImportId"":""QID221_DO""}","{""ImportId"":""QID205""}","{""ImportId"":""QID205_DO""}","{""ImportId"":""QID214""}","{""ImportId"":""QID212""}","{""ImportId"":""QID212_2_TEXT""}","{""ImportId"":""QID213""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_8_TEXT""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_11_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_7_TEXT""}","{""ImportId"":""SC_3sHjXJV8O7uRpnU""}","{""ImportId"":""id""}","{""ImportId"":""FL_3_DO""}","{""ImportId"":""FL_5_DO""}"
2021-04-20 11:05:10,2021-04-20 11:17:28,0,80.209.133.236,100,737,1,2021-04-20 11:17:28,R_W0WuriziKLWbsNX,,,,,56.4806060791015625,-2.9358062744140625,anonymous,EN-GB,1,3,3,4,4,5,3,2,2,3,2,3,3,3,2,4,10|11|9|1|15|6|7|14|8|5|4|3|2|12|13,4,3,4,3,2,4,3,7|4|1|6|2|3|5,5,5,5,4,2,3,6,5,6,5|8|4|9|6|1|7|2|3,4,5,5,4,3,2,2,2,4|1|5|7|3|6|8|2,4,3,4,2,4,5,1,1,2,4,2,1,3|7|12|8|6|1|9|11|4|2|10|5,4,4,3,7,1,2|1|4|5|3,4,1,3,4,2|3|1|4,6,7,6,6,2|3|1,4,5,4,5,3,1,2,1,3|5|1|7|2|6|8|4,3,7|2|3|6|4|5,2,1,,1,0,,18,0,,1,1,0,3,4,,267,3449,"Global/GeneralAttachment(Fraleyetal.,2011and2014)|Personality,BFI-2XS(SotoandJohn,2017)|T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)|EmpathicConcernIRIsubscale(Davis,1980,1983)","VideoCondition1""ThaiMedicine""Zickfeldetal.2019"
2021-04-20 11:21:06,2021-04-20 11:34:44,0,79.66.8.196,100,818,1,2021-04-20 11:34:45,R_1Hnlzwq8YDaeoha,,,,,55.9488983154296875,-3.1631927490234375,anonymous,EN-GB,1,3,4,1,4,2,5,2,2,3,1,4,1,5,1,4,10|15|11|6|8|4|1|3|9|7|2|5|14|12|13,5,4,5,4,1,4,4,2|7|1|3|4|5|6,7,5,5,6,1,2,7,5,6,3|8|7|4|6|9|1|2|5,4,4,5,4,1,1,1,2,8|6|3|1|7|4|5|2,1,1,1,1,1,1,1,1,1,1,1,1,12|1|7|8|6|9|10|2|5|3|4|11,1,1,1,1,1,3|1|5|4|2,1,1,1,1,1|3|2|4,1,1,1,1,3|2|1,4,5,4,4,1,1,2,2,1|4|5|8|3|7|2|6,7,6|4|7|3|2|5,2,1,,1,0,,20,0,,1,1,0,4,0,,205,3585,"Global/GeneralAttachment(Fraleyetal.,2011and2014)|T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)|EmpathicConcernIRIsubscale(Davis,1980,1983)|Personality,BFI-2XS(SotoandJohn,2017)","VideoNeutral1""CleanHardwoodFloors""(Riveraetal.,2019)"
2021-04-20 11:42:46,2021-04-20 11:53:39,0,148.252.129.188,100,652,1,2021-04-20 11:53:40,R_2y3CO5RRzjclQ4w,,,,,51.49639892578125,-0.122406005859375,anonymous,EN-GB,1,4,4,4,4,2,2,2,4,4,4,4,2,2,2,4,1|14|4|15|11|10|2|12|6|3|7|13|5|9|8,5,4,5,3,2,4,5,4|7|3|2|6|1|5,4,1,7,1,1,1,7,7,7,3|1|7|8|4|9|5|2|6,5,5,5,5,5,1,1,1,7|3|8|4|1|5|2|6,4,2,2,4,7,7,4,4,4,4,4,4,11|10|12|8|7|4|5|6|9|2|3|1,7,7,4,1,1,5|3|4|1|2,7,7,7,4,4|3|1|2,7,7,7,7,2|1|3,5,5,5,1,3,1,1,5,5|3|1|6|2|8|4|7,3,3|6|2|4|5|7,2,1,,1,0,,19,0,,1,1,0,5,0,,299,3712,"Personality,BFI-2XS(SotoandJohn,2017)|EmpathicConcernIRIsubscale(Davis,1980,1983)|T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)|Global/GeneralAttachment(Fraleyetal.,2011and2014)","VideoCondition1""ThaiMedicine""Zickfeldetal.2019"
2021-04-20 11:39:00,2021-04-20 12:00:25,0,31.185.235.209,100,1285,1,2021-04-20 12:00:25,R_3Jldv2Ve9CUNpOG,,,,,55.9409027099609375,-3.2938995361328125,anonymous,EN-GB,1,4,5,3,4,4,2,2,4,2,2,3,4,4,3,3,10|2|1|11|4|6|5|7|15|13|12|14|3|9|8,5,2,4,2,2,4,4,1|6|2|7|5|3|4,5,5,5,5,5,4,4,5,5,8|6|2|1|4|3|9|5|7,5,4,4,5,2,2,2,1,4|6|3|8|7|2|5|1,1,1,1,1,1,1,1,1,1,3,1,1,10|4|3|8|1|12|2|11|5|7|9|6,1,1,1,1,1,2|1|5|3|4,1,1,1,1,2|3|4|1,4,1,1,1,2|1|3,4,4,4,4,2,2,2,2,7|2|3|8|6|1|5|4,7,7|6|4|3|2|5,2,1,,1,0,,18,3,,1,1,0,1,4,,208,3463,"T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)|Personality,BFI-2XS(SotoandJohn,2017)|EmpathicConcernIRIsubscale(Davis,1980,1983)|Global/GeneralAttachment(Fraleyetal.,2011and2014)","VideoNeutral1""CleanHardwoodFloors""(Riveraetal.,2019)"
2021-04-20 12:03:00,2021-04-20 12:14:47,0,5.151.5.178,100,707,1,2021-04-20 12:14:47,R_2DLUs90iZ3bh4uW,,,,,53.48089599609375,-2.237396240234375,anonymous,EN-GB,1,4,5,3,4,3,4,1,5,3,3,3,4,5,1,2,6|8|11|15|5|1|12|3|7|9|4|14|10|2|13,4,1,5,1,1,5,5,7|4|5|3|1|6|2,6,6,6,5,2,2,2,5,6,9|6|8|7|2|1|4|3|5,4,5,5,4,3,2,2,2,7|1|2|8|3|4|6|5,7,6,7,7,6,5,6,6,1,3,1,1,6|10|11|4|7|8|5|3|1|12|2|9,7,5,7,4,1,2|3|5|4|1,5,5,5,4,1|2|4|3,5,7,7,7,3|2|1,5,5,4,5,1,1,1,1,3|6|1|8|5|7|2|4,3,4|2|5|7|6|3,2,1,,1,0,,18,0,,1,1,0,5,0,,305,3811,"EmpathicConcernIRIsubscale(Davis,1980,1983)|Global/GeneralAttachment(Fraleyetal.,2011and2014)|T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)|Personality,BFI-2XS(SotoandJohn,2017)","VideoCondition1""ThaiMedicine""Zickfeldetal.2019"
2021-04-20 12:27:18,2021-04-20 12:46:00,0,82.39.48.68,100,1121,1,2021-04-20 12:46:01,R_3p3XJ0Pv05AY4T4,,,,,55.9550933837890625,-3.1999969482421875,anonymous,EN-GB,1,2,4,2,2,4,4,4,4,2,1,2,4,3,4,3,6|2|4|11|10|8|3|5|15|12|14|1|13|7|9,4,4,4,1,2,4,4,4|7|2|1|6|3|5,7,5,6,5,5,4,1,3,3,5|9|7|2|3|1|4|6|8,5,5,5,5,2,1,1,2,1|3|8|5|6|2|4|7,1,1,1,1,1,1,1,1,1,4,4,2,7|3|2|6|4|10|5|1|11|8|9|12,1,1,1,2,1,2|5|3|4|1,1,1,1,1,1|3|4|2,2,1,1,1,3|2|1,5,5,5,5,1,1,1,1,5|3|2|6|7|1|8|4,7,2|5|6|3|4|7,2,1,,1,1,,38,0,,2,1,1,2,1,,207,3487,"Global/GeneralAttachment(Fraleyetal.,2011and2014)|EmpathicConcernIRIsubscale(Davis,1980,1983)|Personality,BFI-2XS(SotoandJohn,2017)|T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)","VideoNeutral1""CleanHardwoodFloors""(Riveraetal.,2019)"
2021-04-20 13:30:24,2021-04-20 13:42:26,0,5.151.91.128,100,721,1,2021-04-20 13:42:26,R_vwUp4UZqy8AyoCJ,,,,,55.9488983154296875,-3.1631927490234375,anonymous,EN-GB,1,2,4,3,5,3,2,3,5,4,3,3,4,4,2,4,8|6|15|10|5|4|11|14|1|2|9|7|3|13|12,4,2,3,3,3,2,4,7|3|6|2|1|5|4,5,6,6,5,5,6,5,3,5,4|2|3|6|9|8|5|7|1,4,4,4,4,1,2,2,1,1|6|7|3|2|8|5|4,2,2,6,5,7,5,2,4,2,2,4,2,4|6|11|2|10|12|3|1|7|9|5|8,4,3,4,3,1,4|1|2|5|3,2,2,2,2,2|4|3|1,6,6,6,6,2|3|1,4,4,4,4,2,2,2,2,7|5|2|8|6|4|3|1,3,3|2|4|7|6|5,2,1,,2,0,,18,0,,1,1,0,3,0,,259,3765,"T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)|Personality,BFI-2XS(SotoandJohn,2017)|Global/GeneralAttachment(Fraleyetal.,2011and2014)|EmpathicConcernIRIsubscale(Davis,1980,1983)","VideoCondition1""ThaiMedicine""Zickfeldetal.2019"
2021-04-20 13:56:11,2021-04-20 14:11:15,0,101.32.189.8,100,904,1,2021-04-20 14:11:15,R_28ByXHIOaGvmJvi,,,,,22.2794952392578125,114.14599609375,anonymous,EN-GB,1,5,5,5,5,5,1,1,5,5,1,3,5,4,1,5,6|11|8|12|9|5|4|7|14|10|15|3|13|1|2,4,2,5,1,1,5,5,4|6|5|1|2|7|3,7,2,5,7,5,7,1,7,2,1|4|3|8|6|2|5|9|7,5,5,5,5,1,1,3,1,7|2|4|8|3|5|1|6,1,1,1,1,1,1,1,1,1,1,1,1,10|2|1|11|5|7|6|9|4|8|12|3,1,1,1,1,1,3|4|1|2|5,1,1,1,1,3|2|1|4,1,1,1,1,3|2|1,5,5,5,5,1,1,2,1,5|8|3|6|2|4|1|7,7,2|3|4|5|6|7,2,1,,1,0,,19,3,,1,1,0,4,0,,221,3605,"EmpathicConcernIRIsubscale(Davis,1980,1983)|Personality,BFI-2XS(SotoandJohn,2017)|T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)|Global/GeneralAttachment(Fraleyetal.,2011and2014)","VideoNeutral1""CleanHardwoodFloors""(Riveraetal.,2019)"
